time,symbol,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume
70345,ETH/USDT,174.55,169.63,171.32,13.9828,171.33,0.00054,171.98167605,171.38,171.33,171.33,171.3,-0.05,-0.029,,445354.99396,76592898.2997104
70355,ETH/USDT,174.55,169.63,171.36,10.2758,171.41,12.92071,171.98172984,171.27,171.38,171.38,171.33,0.11,0.064,,445319.07135,76586744.2216056
70366,ETH/USDT,174.55,169.63,171.37,9.93209,171.39,1.67472,171.9817685,171.37,171.37,171.37,171.33,0.0,0.0,,445295.19941,76582655.8983969
70376,ETH/USDT,174.55,169.63,171.47,10.72842,171.48,5.81781,171.98179487,171.46,171.48,171.48,171.47,0.02,0.012,,445274.91977,76579179.9119484
70386,ETH/USDT,174.55,169.63,171.42,10.0,171.47,26.61877,171.98183792,171.46,171.43,171.43,171.4,-0.03,-0.017,,445240.02841,76573198.4001816
70396,ETH/USDT,174.55,169.63,171.4,0.2334,171.43,1.819,171.98190277,171.32,171.42,171.42,171.32,0.1,0.058,,445194.79177,76565447.3913164
70406,ETH/USDT,174.55,169.63,171.45,10.20748,171.47,1.38593,171.9818919,171.35,171.46,171.46,171.38,0.11,0.064,,445209.86043,76568034.0884324
70416,ETH/USDT,174.55,169.63,171.46,25.99544,171.47,0.00016,171.981926,171.43,171.46,171.46,171.39,0.03,0.017,,445183.54088,76563522.7849983
70427,ETH/USDT,174.55,169.63,171.5,39.26107,171.51,0.00073,171.98195171,171.19,171.51,171.51,171.17,0.32,0.187,,445192.20745,76565024.7226081
70437,ETH/USDT,174.55,169.63,171.51,0.27556,171.53,1.99285,171.9821497,171.25,171.53,171.53,171.26,0.28,0.164,,445091.67147,76547822.4748169
70447,ETH/USDT,174.55,169.63,171.43,10.0,171.44,1.88194,171.98214631,171.3,171.46,171.46,171.31,0.16,0.093,,445099.29281,76549131.699637
70457,ETH/USDT,174.55,169.63,171.43,1.50861,171.48,0.27252,171.98216265,171.32,171.45,171.45,171.36,0.13,0.076,,445089.29305,76547419.1901836
70467,ETH/USDT,174.55,169.63,171.48,10.0,171.49,13.15222,171.98216355,171.33,171.49,171.49,171.36,0.16,0.093,,445092.92239,76548043.7717324
70477,ETH/USDT,174.55,169.63,171.47,0.20916,171.49,1.13607,171.98215656,171.32,171.47,171.47,171.27,0.15,0.088,,445102.04573,76549609.71445
70488,ETH/USDT,174.55,169.63,171.49,26.16969,171.5,0.00037,171.98214799,171.2,171.5,171.5,171.23,0.3,0.175,,445113.54671,76551583.8607857
70498,ETH/USDT,174.55,169.63,171.49,45.38624,171.5,53.50383,171.98223295,171.2,171.49,171.49,171.2,0.29,0.169,,445067.40013,76543685.2890919
70508,ETH/USDT,174.55,169.63,171.47,0.47374,171.5,44.32028,171.98230775,171.33,171.5,171.5,171.27,0.17,0.099,,445030.45773,76537365.1396245
70518,ETH/USDT,174.55,169.63,171.5,2.16728,171.55,13.59671,171.98229672,171.44,171.5,171.5,171.47,0.06,0.035,,445048.0991,76540394.231977
