time,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last
85509,12.6426,11.3184,12.3421,4.08,12.3529,13.5,11.9696457,11.4216,12.354,12.354
85510,12.6426,11.3184,12.343,61.73,12.3578,201.72,11.9696481,11.4216,12.3576,12.3576
85511,12.6426,11.3184,12.3442,4.08,12.3578,186.65,11.96964932,11.4216,12.3578,12.3578
85512,12.6426,11.3184,12.3442,4.08,12.3529,13.5,11.96965174,11.4216,12.3578,12.3578
85513,12.6426,11.3184,12.3441,64.53,12.349,9.98,11.96965412,11.4216,12.349,12.349
85515,12.6426,11.3184,12.3454,4.08,12.3564,7.6,11.96965675,11.4216,12.3564,12.3564
85516,12.6426,11.3184,12.3443,4.08,12.3591,300.69,11.96965984,11.4191,12.359,12.359
85517,12.6426,11.3184,12.3443,4.08,12.3593,36.39,11.96966124,11.4248,12.3593,12.3593
85518,12.6426,11.3184,12.3443,7.2,12.3593,6.34,11.96966367,11.4248,12.3593,12.3593
85520,12.6426,11.3184,12.3436,59.21,12.3591,304.35,11.96966611,11.4248,12.3591,12.3591
85521,12.6426,11.3184,12.3437,5.83,12.3591,304.35,11.9696693,11.4248,12.359,12.359
85522,12.6426,11.3184,12.3443,5.83,12.3591,286.83,11.96969427,11.4215,12.3591,12.3591
85523,12.6426,11.3184,12.3443,7.2,12.359,22.03,11.96969707,11.4245,12.359,12.359
85525,12.6426,11.3184,12.3449,5.45,12.3602,38.78,11.96969988,11.4257,12.3595,12.3595
85526,12.6426,11.3184,12.3458,5.83,12.3602,38.78,11.96990516,11.4135,12.3594,12.3594
85527,12.6426,11.3184,12.3474,5.48,12.3571,27.26,11.9699076,11.4135,12.3606,12.3606
85528,12.6426,11.3184,12.3485,64.73,12.3631,155.03,11.96991422,11.4163,12.363,12.363
85529,12.6426,11.3184,12.349,4.08,12.3541,32.14,11.96991543,11.4163,12.3583,12.3583
85531,12.6426,11.3184,12.3504,62.68,12.3583,8.77,11.969918,11.4163,12.3541,12.3541
85532,12.6426,11.3184,12.3505,5.59,12.3603,21.14,11.96991921,11.4163,12.3603,12.3603
85533,12.6426,11.3184,12.3509,5.59,12.3607,23.27,11.96992387,11.4189,12.3607,12.3607
85534,12.6426,11.3184,12.3506,97.37,12.3523,22.45,11.96992579,11.4189,12.3523,12.3523
85535,12.6426,11.3184,12.351,5.83,12.3567,12.71,11.96992819,11.4189,12.3567,12.3567
85536,12.6426,11.3184,12.3507,95.07,12.3579,5.83,11.96993554,11.4189,12.3507,12.3507
85538,12.6426,11.3184,12.3444,37.05,12.3502,34.15,11.97009789,11.4037,12.3498,12.3498
85539,12.6426,11.3184,12.3416,4.09,12.3477,32.94,11.97009908,11.4037,12.3502,12.3502
85540,12.6426,11.3184,12.3421,4.09,12.3477,6.95,11.97010198,11.4037,12.3477,12.3477
